company,asset_or_theme,signal_summary,reference_type,reference_path,page_or_date,quote,source_url
Codelco,Rajo Inca + Traspaso Andina capex,US$1.19B del presupuesto 2024 se destinó a proyectos estructurales como Rajo Inca y Traspaso Andina para sostener el plan de crecimiento.,memoria,Documentacion/Memoria_Codelco_2024.pdf,p.7,"a Subterránea, la Cartera de Proyectos Teniente, Rajo Inca y Traspaso Andina) y US$ 1.190 millones a la cartera de desarrollo mina (gastos diferidos).",https://www.codelco.com/memorias
Codelco,Rajo Inca operación,"Informe 2024 detalla costos y ramp-up de Rajo Inca, confirmando continuidad operacional del nuevo yacimiento.",memoria,Documentacion/Memoria_Codelco_2024.pdf,p.17,"Los costos directos (C1) alcanzaron los 199,1 c/lb... debido al desfase en la entrada de operación de Rajo Inca.",https://www.codelco.com/memorias
ENGIE Energía Chile,Cartera renovable 3.5 GW,ENGIE aprobó tres proyectos que casi duplicarán su capacidad renovable y apuntan a 3.5 GW instalados al 2027.,memoria,Documentacion/Memoria_ENGIE_2024.pdf,p.4,"Aprobamos la inversión en tres proyectos que nos llevará a casi duplicar nuestra actual capacidad instalada de generación renovable... ambicionar una capacidad instalada total de 3,5 GW para 2027.",https://www.engie.cl/relaciones_inversion/reporte-integrado/
ENGIE Energía Chile,Hibridación BESS + renovables,La empresa remarca que ampliará activos renovables apoyados en sistemas BESS y respaldo gasífero para flexibilidad.,memoria,Documentacion/Memoria_ENGIE_2024.pdf,p.5,"La expansión de nuestros activos de generación renovable con los beneficios y la flexibilidad que entregan las BESS al sistema, son esenciales en esta nueva etapa, como también lo es el gas.",https://www.engie.cl/relaciones_inversion/reporte-integrado/
NovaAndino Litio (Codelco + SQM),JV Salar de Atacama,El gobierno presentó la empresa público-privada que explotará el Salar de Atacama hasta 2060 capturando 70-85% del margen para el Estado.,noticia oficial,,30-12-2025,"NovaAndino Litio... sociedad conjunta entre Codelco y SQM para la producción de litio en el Salar de Atacama, con participación de mayoría estatal y proyección hasta el 2060.",https://www.gob.cl/noticias/nova-andino-litio-codelco-sqm-produccion-litio-salar-de-atacama/
SQM,Litio Salar de Atacama — JV con Codelco (NovaAndino Litio),"SQM firmó acuerdo con Codelco para crear sociedad conjunta que producirá litio en Salar de Atacama 2025–2060, con participación estatal mayoritaria. La compañía reorganizó sus operaciones en tres divisiones: SQM Lithium Chile, SQM Lithium International y SQM Yodo-Nutrición Vegetal. Capex 2024: US$1,388M destinado a expansión de capacidad litío en Chile y China.",memoria,Documentacion/Memoria_SQM_2024.pdf,"p.9, p.12-13, p.15",our negotiation with Codelco and the potential partnership for the production of lithium products from the Salar de Atacama during the period from 2025 to 2060,https://ir.sqm.com/financials/annual-reports
SQM,Capex lithium expansion Chile + China,"US$1,388M de capex invertido en 2024, con foco en expansión de capacidad de producción de litio en Chile y China. La demanda de vehículos eléctricos impulsa el crecimiento del negocio del litio.",memoria,Documentacion/Memoria_SQM_2024.pdf,p.15,The growth of our lithium business depends on the growth in demand for electric vehicles using lithium-based batteries,https://ir.sqm.com/financials/annual-reports
Enel Chile,"Capacidad renovable híbrida — La Cabaña, El Manzano BESS, Las Salinas PV","Enel Chile recibió autorización de operación comercial para La Cabaña (eólica), El Manzano (67 MW BESS/2h) y Las Salinas (205 MW solar PV), operando junto con Sierra Gorde Este (112 MW), constituyendo uno de los centros de generación híbrida renovable más grandes del país.",memoria,Documentacion/Memoria_Enel_Chile_2024.pdf,p.8,"La Cabaña wind farm, the El Manzano storage system (with a net installed capacity of 67 MW 2 hours), and the Las Salinas photovoltaic park (205 MW of net installed capacity). These units operate in conjunction with the Sierra Gorda Este wind farm (112 MW), making them one of the largest industrial-scale hybrid renewable generation centers in the country.",https://www.enel.ch/en/investors/enel-chile/reports/annual-reports/2024
Enel Chile,Don Humberto solar + BESS Región Metropolitana,"Enel Chile recibió autorización para Don Humberto (81 MW solar + sistema de almacenamiento BESS), segundo centro híbrido renovable a escala industrial en Región Metropolitana.",memoria,Documentacion/Memoria_Enel_Chile_2024.pdf,p.8,"Don Humberto (net installed power of 81 MW for the solar section) the second industrial-scale hybrid renewable energy generation unit within the Metropolitan Region, combining bifacial photovoltaic generation with an energy storage system.",https://www.enel.ch/en/investors/enel-chile/reports/annual-reports/2024
Enel Chile,8.87 GW capacidad instalada + US$1.8B capex planificado,Enel Chile alcanzó 8.87 GW de capacidad instalada neta (+4.6% vs 2023). Guidance acumulado: EBITDA US$4.4–4.6B y CAPEX US$1.8B. Demanda eléctrica de Chile crecerá 41% al 2035.,memoria,Documentacion/Memoria_Enel_Chile_2024.pdf,"p.9, p.18-19",8.87 GW Net installed capacity | Accumulated CAPEX approximately US$1.8 billion | Chile's energy demand is projected to increase by 41% by 2035,https://www.enel.ch/en/investors/enel-chile/reports/annual-reports/2024
